Using qualitative chat model: {
  model: 'gpt-4o-mini',
  modelName: 'gpt-4o-mini',
  userId: 1,
  timestamp: '2025-03-10T07:56:45.342Z'
}
info: Starting chatWithAI: {"estimatedTokenCount":6,"lastMessage":"Should I take more zinc?...","messageCount":1,"model":"gpt-4o-mini","timestamp":"2025-03-10T07:56:45.343Z"}
info: Stream created, starting to process chunks {"timestamp":"2025-03-10T07:56:45.820Z"}
info: Processing chunk: {"chunkLength":7,"preview":" intake","timestamp":"2025-03-10T07:56:46.725Z"}
info: Processing chunk: {"chunkLength":1,"preview":"?","timestamp":"2025-03-10T07:56:46.767Z"}
info: Processing chunk: {"chunkLength":5,"preview":" Have","timestamp":"2025-03-10T07:56:46.767Z"}
info: Processing chunk: {"chunkLength":4,"preview":" you","timestamp":"2025-03-10T07:56:46.808Z"}
info: Processing chunk: {"chunkLength":8,"preview":" noticed","timestamp":"2025-03-10T07:56:46.809Z"}
info: Processing chunk: {"chunkLength":4,"preview":" any","timestamp":"2025-03-10T07:56:47.010Z"}
info: Processing chunk: {"chunkLength":8,"preview":" changes","timestamp":"2025-03-10T07:56:47.011Z"}
info: Processing chunk: {"chunkLength":3,"preview":" in","timestamp":"2025-03-10T07:56:47.235Z"}
info: Processing chunk: {"chunkLength":5,"preview":" your","timestamp":"2025-03-10T07:56:47.235Z"}
info: Processing chunk: {"chunkLength":5,"preview":" mood","timestamp":"2025-03-10T07:56:47.285Z"}
info: Processing chunk: {"chunkLength":1,"preview":",","timestamp":"2025-03-10T07:56:47.286Z"}
info: Processing chunk: {"chunkLength":7,"preview":" energy","timestamp":"2025-03-10T07:56:47.342Z"}
info: Processing chunk: {"chunkLength":7,"preview":" levels","timestamp":"2025-03-10T07:56:47.343Z"}
info: Processing chunk: {"chunkLength":1,"preview":",","timestamp":"2025-03-10T07:56:47.373Z"}
info: Processing chunk: {"chunkLength":3,"preview":" or","timestamp":"2025-03-10T07:56:47.373Z"}
info: Processing chunk: {"chunkLength":8,"preview":" overall","timestamp":"2025-03-10T07:56:47.404Z"}
info: Processing chunk: {"chunkLength":5,"preview":" well","timestamp":"2025-03-10T07:56:47.405Z"}
info: Processing chunk: {"chunkLength":6,"preview":"-being","timestamp":"2025-03-10T07:56:47.422Z"}
info: Processing chunk: {"chunkLength":6,"preview":" since","timestamp":"2025-03-10T07:56:47.423Z"}
info: Processing chunk: {"chunkLength":4,"preview":" you","timestamp":"2025-03-10T07:56:47.448Z"}
info: Processing chunk: {"chunkLength":8,"preview":" started","timestamp":"2025-03-10T07:56:47.448Z"}
info: Processing chunk: {"chunkLength":7,"preview":" taking","timestamp":"2025-03-10T07:56:47.466Z"}
info: Processing chunk: {"chunkLength":3,"preview":" it","timestamp":"2025-03-10T07:56:47.467Z"}
info: Processing chunk: {"chunkLength":1,"preview":"?","timestamp":"2025-03-10T07:56:47.481Z"}
info: Processing chunk: {"chunkLength":13,"preview":" Additionally","timestamp":"2025-03-10T07:56:47.481Z"}
info: Processing chunk: {"chunkLength":1,"preview":",","timestamp":"2025-03-10T07:56:47.497Z"}
info: Processing chunk: {"chunkLength":4,"preview":" are","timestamp":"2025-03-10T07:56:47.497Z"}
info: Processing chunk: {"chunkLength":4,"preview":" you","timestamp":"2025-03-10T07:56:47.512Z"}
info: Processing chunk: {"chunkLength":6,"preview":" aware","timestamp":"2025-03-10T07:56:47.512Z"}
info: Processing chunk: {"chunkLength":3,"preview":" of","timestamp":"2025-03-10T07:56:47.558Z"}
info: Processing chunk: {"chunkLength":4,"preview":" the","timestamp":"2025-03-10T07:56:47.558Z"}
info: Processing chunk: {"chunkLength":12,"preview":" recommended","timestamp":"2025-03-10T07:56:47.588Z"}
info: Processing chunk: {"chunkLength":6,"preview":" daily","timestamp":"2025-03-10T07:56:47.588Z"}
info: Processing chunk: {"chunkLength":10,"preview":" allowance","timestamp":"2025-03-10T07:56:47.633Z"}
info: Processing chunk: {"chunkLength":4,"preview":" for","timestamp":"2025-03-10T07:56:47.633Z"}
info: Processing chunk: {"chunkLength":5,"preview":" zinc","timestamp":"2025-03-10T07:56:47.644Z"}
info: Processing chunk: {"chunkLength":1,"preview":",","timestamp":"2025-03-10T07:56:47.644Z"}
info: Processing chunk: {"chunkLength":4,"preview":" and","timestamp":"2025-03-10T07:56:47.663Z"}
info: Processing chunk: {"chunkLength":5,"preview":" have","timestamp":"2025-03-10T07:56:47.663Z"}
info: Processing chunk: {"chunkLength":4,"preview":" you","timestamp":"2025-03-10T07:56:47.685Z"}
info: Processing chunk: {"chunkLength":10,"preview":" discussed","timestamp":"2025-03-10T07:56:47.685Z"}
info: Processing chunk: {"chunkLength":5,"preview":" your","timestamp":"2025-03-10T07:56:47.708Z"}
info: Processing chunk: {"chunkLength":16,"preview":" supplementation","timestamp":"2025-03-10T07:56:47.708Z"}
info: Processing chunk: {"chunkLength":5,"preview":" with","timestamp":"2025-03-10T07:56:47.726Z"}
info: Processing chunk: {"chunkLength":2,"preview":" a","timestamp":"2025-03-10T07:56:47.726Z"}
info: Processing chunk: {"chunkLength":11,"preview":" healthcare","timestamp":"2025-03-10T07:56:47.772Z"}
info: Processing chunk: {"chunkLength":13,"preview":" professional","timestamp":"2025-03-10T07:56:47.772Z"}
info: Processing chunk: {"chunkLength":1,"preview":"?","timestamp":"2025-03-10T07:56:47.779Z"}
info: Stream completed: {"timestamp":"2025-03-10T07:56:47.788Z","totalLength":451}
